1272,920,5,8
2240,1176,4,8
1568,1152,3,8
784,1168,0,8
792,1176,0,8
1496,640,2,8
1448,872,1,8
1288,1208,3,8
336,576,2,8
616,384,1,8
1712,784,1,8
1008,1200,3,8
600,376,2,8
2024,728,5,8
856,952,5,8
1864,832,0,8
568,376,2,8
2208,1176,3,8
752,912,3,8
1752,808,3,8
2280,848,0,8
2288,248,2,8
1944,496,4,8
1760,296,5,8
656,1000,4,8
1024,248,1,8
1528,480,0,8
568,400,0,8
560,312,4,8
624,256,0,8
2160,384,2,8
384,872,0,8
1912,552,4,8
2168,352,2,8
992,352,0,8
1624,296,0,8
1904,320,0,8
1872,704,5,8
2096,1176,3,8
1784,488,3,8
2024,296,0,8
2128,256,0,8
2168,680,3,8
640,920,2,8
2120,736,5,8
1432,880,4,8
2080,1144,1,8
2216,296,1,8
2136,728,4,8
2080,560,3,8
600,632,4,8
328,928,2,8
1848,960,3,8
1992,840,0,8
1096,864,4,8
1184,376,3,8
344,344,1,8
1240,264,1,8
552,608,3,8
856,736,1,8
1304,1080,0,8
1776,656,1,8
2192,312,5,8
600,672,1,8
776,704,0,8
1696,600,0,8
2312,336,0,8
648,272,0,8
952,288,0,8
320,528,5,8
736,1208,1,8
1944,1120,0,8
1072,1128,2,8
2280,704,3,8
1272,928,5,8
2240,1184,5,8
592,632,4,8
712,672,0,8
328,936,2,8
1952,1048,1,8
1296,1208,3,8
1992,832,0,8
688,976,4,8
1016,1200,3,8
1456,512,4,8
600,368,2,8
1184,368,3,8
1008,440,2,8
848,952,5,8
1856,832,1,8
568,384,2,8
2216,1176,3,8
1240,1136,1,8
752,904,3,8
1744,808,3,8
856,744,1,8
2240,416,2,8
1304,1072,0,8
656,1008,4,8
1032,248,1,8
1768,744,5,8
576,400,0,8
696,888,1,8
632,256,0,8
1624,264,2,8
2152,384,2,8
376,872,0,8
2176,352,2,8
1000,352,0,8
1912,320,0,8
936,600,5,8
2104,1176,3,8
1776,488,3,8
2032,296,0,8
320,536,5,8
840,1040,0,8
744,1208,1,8
648,920,2,8
704,832,2,8
1936,1120,0,8
712,976,1,8
2080,1136,1,8
2216,288,1,8
2128,728,4,8
2280,712,3,8
1312,768,3,8
1960,1048,1,8
696,976,4,8
1000,440,2,8
1240,1128,1,8
2232,416,2,8
1768,752,5,8
1616,264,2,8
1280,752,0,8
928,600,5,8
840,1048,0,8
720,976,1,8
1280,920,5,8
1560,1152,3,8
720,664,0,8
1856,960,3,8
608,384,1,8
1008,1192,3,8
1176,376,3,8
1000,448,2,8
576,376,2,8
2208,1168,3,8
544,608,3,8
2296,248,2,8
1032,600,0,8
1024,256,1,8
568,408,0,8
624,264,0,8
776,712,0,8
1288,752,0,8
640,272,0,8
960,288,0,8
2024,288,0,8
2160,680,3,8
712,840,2,8
1424,880,4,8
2224,296,1,8
2288,704,3,8
2248,1176,5,8
728,672,0,8
1968,1048,1,8
1984,840,0,8
1096,872,4,8
592,376,2,8
2024,720,5,8
1872,832,1,8
1240,272,1,8
752,920,3,8
864,736,1,8
1296,1080,0,8
1776,664,1,8
2184,312,5,8
600,680,1,8
1616,256,2,8
1688,600,0,8
1200,384,0,8
928,592,5,8
1032,912,2,8
2128,264,0,8
736,1200,1,8
1952,1120,0,8
2072,1144,1,8
2144,728,4,8
1312,776,3,8
1304,1200,0,8
544,680,5,8
2224,416,2,8
784,704,0,8
2320,336,1,8
848,1048,0,8
1288,920,5,8
2088,568,3,8
792,1160,0,8
320,936,2,8
1488,632,3,8
1864,960,3,8
1288,1192,0,8
608,392,1,8
1088,872,4,8
1456,520,4,8
592,368,2,8
2016,720,5,8
848,944,5,8
576,368,2,8
2200,1168,3,8
544,600,3,8
2272,840,0,8
1312,1072,0,8
664,1008,4,8
1032,256,1,8
576,408,1,8
696,880,1,8
632,248,0,8
1616,280,2,8
776,720,0,8
2184,352,3,8
1608,296,0,8
640,264,1,8
2112,1176,3,8
1016,904,2,8
2032,304,1,8
2136,264,1,8
2152,680,3,8
744,1200,1,8
648,912,2,8
696,832,2,8
712,968,1,8
2224,304,1,8
2120,728,4,8
2288,712,3,8
720,672,0,8
1464,512,4,8
1536,464,4,8
704,888,1,8
1200,392,0,8
704,840,2,8
2080,568,3,8
1488,640,3,8
1088,864,4,8
2016,728,5,8
1248,264,1,8
2272,848,0,8
1768,656,1,8
608,672,1,8
1704,600,0,8
928,608,5,8
2136,256,0,8
2112,736,5,8
1768,440,0,8
608,632,4,8
1848,952,3,8
1472,512,4,8
1000,432,2,8
