442,994,0,2
992,306,0,2
850,640,1,2
464,416,2,2
980,1166,5,2
1370,732,0,2
568,354,3,2
794,854,0,2
1422,554,2,2
2028,906,3,2
1852,350,0,2
376,1198,3,2
830,1186,4,2
1062,230,3,2
624,1120,0,2
1380,848,3,2
1292,836,0,2
1752,704,0,2
1362,934,0,2
350,934,0,2
512,434,4,2
1374,262,0,2
2008,298,1,2
1932,384,5,2
870,566,4,2
748,746,0,2
634,552,4,2
1700,462,2,2
674,258,5,2
326,1218,3,2
1794,946,0,2
2082,642,3,2
1748,480,3,2
1132,666,0,2
1026,742,3,2
2008,926,0,2
2046,1048,2,2
1344,290,3,2
388,1142,2,2
1268,996,4,2
488,852,5,2
1842,920,5,2
492,1124,5,2
1182,814,2,2
1670,610,2,2
514,272,1,2
944,472,2,2
1624,538,3,2
646,570,1,2
1620,1044,0,2
1642,558,0,2
946,878,0,2
456,844,3,2
1042,1130,0,2
1830,718,3,2
1850,264,5,2
1590,304,1,2
1674,972,0,2
734,778,1,2
1288,886,3,2
1706,1076,0,2
1676,526,0,2
1404,674,0,2
736,720,0,2
816,226,3,2
416,604,1,2
1520,850,1,2
2116,698,3,2
446,344,0,2
2256,1142,2,2
742,1110,5,2
2016,738,1,2
1010,506,3,2
1720,588,0,2
1604,554,0,2
886,440,2,2
1276,258,0,2
1396,1090,1,2
1892,982,1,2
1818,408,2,2
1470,586,1,2
1338,846,2,2
2268,326,1,2
328,506,0,2
1178,684,0,2
994,1118,0,2
1672,972,0,2
1156,320,1,2
734,780,1,2
1208,786,2,2
880,948,1,2
568,356,3,2
792,854,0,2
1422,552,2,2
2026,906,3,2
1854,350,0,2
374,1198,3,2
828,1186,4,2
736,718,0,2
624,1122,0,2
548,700,5,2
1292,834,0,2
1588,668,2,2
1520,852,1,2
350,932,0,2
1126,686,0,2
2116,696,3,2
2006,298,1,2
444,344,0,2
1070,872,1,2
2256,1144,2,2
1126,616,4,2
742,1112,5,2
674,260,5,2
326,1216,3,2
1008,506,3,2
1106,1110,2,2
1722,588,0,2
1342,1058,5,2
1026,740,3,2
2006,926,0,2
2046,1046,3,2
1346,290,3,2
390,1142,2,2
1270,996,4,2
488,854,4,2
1842,918,5,2
1184,814,2,2
2004,736,4,2
1670,608,2,2
1614,778,4,2
944,470,2,2
1622,1044,0,2
1642,556,0,2
946,876,0,2
456,846,3,2
1042,1132,0,2
1832,718,3,2
1178,682,0,2
1394,694,0,2
1590,306,1,2
1156,318,0,2
878,948,1,2
1042,226,0,2
444,522,0,2
1590,668,2,2
374,418,4,2
1128,616,4,2
2146,796,0,2
1344,1058,4,2
2118,418,3,2
2056,1006,2,2
1614,776,4,2
354,622,3,2
