64-64
0,0,1,r
0,1,1,r
0,2,1,r
0,3,1,r
0,4,1,r
0,5,1,r
0,6,1,r
0,7,1,r
0,8,1,r
0,9,1,r
0,10,1,r
0,11,1,r
0,12,1,r
0,13,1,r
0,14,1,r
0,15,1,r
0,16,1,r
0,17,1,r
0,18,1,r
0,19,1,r
0,20,1,r
0,21,1,r
0,22,1,r
0,23,1,r
0,24,1,r
0,25,1,r
0,26,1,r
0,27,1,r
0,28,1,r
0,29,1,r
0,30,1,r
0,31,1,r
0,32,1,r
0,33,1,r
0,34,1,r
0,35,1,r
0,36,1,r
0,37,1,r
0,38,1,r
0,39,1,r
0,40,1,r
0,41,1,r
0,42,1,r
0,43,1,r
0,44,1,r
0,45,1,r
0,46,1,r
0,47,1,r
0,48,1,r
0,49,1,r
0,50,1,r
0,51,1,r
0,52,1,r
0,53,1,r
0,54,1,r
0,55,1,r
0,56,1,r
0,57,1,r
0,58,1,r
0,59,1,r
0,60,1,r
0,61,1,r
0,62,1,r
0,63,1,r
1,0,1,r
1,1,1,m
1,2,0,b
1,3,0,b
1,4,1,g
1,5,0,b
1,6,1,g
1,7,0,b
1,8,1,m
1,9,0,b
1,10,0,b
1,11,0,b
1,12,0,b
1,13,0,b
1,14,1,y
1,15,0,b
1,16,1,g
1,17,0,b
1,18,1,g
1,19,0,b
1,20,1,g
1,21,0,b
1,22,1,y
1,23,0,b
1,24,1,m
1,25,0,b
1,26,1,m
1,27,0,b
1,28,1,m
1,29,1,o
1,30,0,b
1,31,0,b
1,32,1,m
1,33,0,b
1,34,1,o
1,35,0,b
1,36,0,b
1,37,1,g
1,38,1,o
1,39,0,b
1,40,1,y
1,41,0,b
1,42,1,g
1,43,0,b
1,44,0,b
1,45,1,g
1,46,0,b
1,47,0,b
1,48,1,m
1,49,0,b
1,50,1,o
1,51,0,b
1,52,1,o
1,53,0,b
1,54,1,y
1,55,0,b
1,56,1,g
1,57,0,b
1,58,1,g
1,59,0,b
1,60,1,o
1,61,0,b
1,62,1,g
1,63,1,r
2,0,1,r
2,1,0,b
2,2,1,r
2,3,0,b
2,4,1,r
2,5,0,b
2,6,1,r
2,7,0,b
2,8,1,r
2,9,0,b
2,10,1,r
2,11,1,o
2,12,1,r
2,13,1,r
2,14,0,b
2,15,0,b
2,16,1,r
2,17,0,b
2,18,0,b
2,19,0,b
2,20,0,b
2,21,0,b
2,22,1,r
2,23,0,b
2,24,0,b
2,25,0,b
2,26,1,g
2,27,0,b
2,28,0,b
2,29,0,b
2,30,0,b
2,31,1,r
2,32,0,b
2,33,0,b
2,34,0,b
2,35,0,b
2,36,1,r
2,37,0,b
2,38,0,b
2,39,0,b
2,40,1,r
2,41,0,b
2,42,0,b
2,43,1,r
2,44,0,b
2,45,1,r
2,46,0,b
2,47,1,g
2,48,0,b
2,49,0,b
2,50,1,r
2,51,0,b
2,52,1,r
2,53,0,b
2,54,1,r
2,55,0,b
2,56,1,g
2,57,0,b
2,58,1,r
2,59,0,b
2,60,0,b
2,61,0,b
2,62,1,g
2,63,1,r
3,0,1,r
3,1,0,b
3,2,0,b
3,3,0,b
3,4,0,b
3,5,0,b
3,6,0,b
3,7,0,b
3,8,0,b
3,9,0,b
3,10,0,b
3,11,0,b
3,12,0,b
3,13,0,b
3,14,1,r
3,15,0,b
3,16,1,g
3,17,0,b
3,18,1,r
3,19,1,r
3,20,0,b
3,21,0,b
3,22,0,b
3,23,1,r
3,24,1,g
3,25,0,b
3,26,0,b
3,27,1,r
3,28,1,r
3,29,0,b
3,30,1,r
3,31,0,b
3,32,0,b
3,33,0,b
3,34,1,g
3,35,0,b
3,36,0,b
3,37,1,r
3,38,0,b
